,strategy
2020-01-02,1000000.0
2020-01-03,1000000.0
2020-01-06,1010816.3503523387
2020-01-07,1009783.292376677
2020-01-08,1017167.9718038031
2020-01-09,1009918.3908080078
2020-01-10,1005592.0877624383
2020-01-13,1004837.8936966165
2020-01-14,1004837.8936966165
2020-01-15,1004837.8936966165
2020-01-16,1004837.8936966165
2020-01-17,1004837.8936966165
2020-01-20,1007048.9462023154
2020-01-21,1006180.6246017272
2020-01-22,999682.0164154248
2020-01-23,992704.1030756182
2020-02-03,991215.0469210048
2020-02-04,991215.0469210048
2020-02-05,991215.0469210048
2020-02-06,991215.0469210048
2020-02-07,991215.0469210048
2020-02-10,993470.8086952155
2020-02-11,993574.4063562668
2020-02-12,993503.7911614594
2020-02-13,995245.2023555072
2020-02-14,991003.3821412746
2020-02-17,999657.4001831127
2020-02-18,1000948.8010678377
2020-02-19,1004060.600383386
2020-02-20,1005568.9831147164
2020-02-21,1008610.4412405327
2020-02-24,1002017.9610275093
2020-02-25,987815.8044823651
2020-02-26,989949.3366239832
2020-02-27,988659.4536454615
2020-02-28,989437.8923879429
2020-03-02,989825.1193820197
2020-03-03,995834.4212080996
2020-03-04,994171.9102209881
2020-03-05,997551.8580809594
2020-03-06,996505.4792544765
2020-03-09,994012.7958387982
2020-03-10,985358.4767214984
2020-03-11,986978.9334468133
2020-03-12,975327.6747839424
2020-03-13,968846.032692235
2020-03-16,967392.7636431967
2020-03-17,967392.7636431967
2020-03-18,967392.7636431967
2020-03-19,967392.7636431967
2020-03-20,967392.7636431967
2020-03-23,961954.1248044025
2020-03-24,963032.0332683143
2020-03-25,966439.8619148341
2020-03-26,966377.9562737566
2020-03-27,965399.545202244
2020-03-30,940370.6128899951
2020-03-31,947137.5696700182
2020-04-01,937298.4050884398
2020-04-02,979233.1611673224
2020-04-03,991385.6258257991
2020-04-07,997000.1278978479
2020-04-08,988959.5464304972
2020-04-09,993338.6564992294
2020-04-10,987801.1264182057
2020-04-13,986511.266442763
2020-04-14,982513.5347301908
2020-04-15,980669.490864906
2020-04-16,978398.0848644304
2020-04-17,984082.6578073045
2020-04-20,982606.5338205936
2020-04-21,982606.5338205936
2020-04-22,982606.5338205936
2020-04-23,982606.5338205936
2020-04-24,982606.5338205936
2020-04-27,956721.3696636234
2020-04-28,938960.5342849762
2020-04-29,928888.6657334743
2020-04-30,938181.6566567378
2020-05-06,938702.9779815248
2020-05-07,936784.4542097047
2020-05-08,940460.8042100979
2020-05-11,939480.6480134984
2020-05-12,935168.5919198814
2020-05-13,925582.4766434757
2020-05-14,931204.7765986071
2020-05-15,927518.9298305411
2020-05-18,926363.6804008783
2020-05-19,929632.6865877457
2020-05-20,924747.829181692
2020-05-21,924664.5227807941
2020-05-22,921865.362162262
2020-05-25,906032.4355808067
2020-05-26,903147.4682210592
2020-05-27,899600.9402459856
2020-05-28,898405.2032784665
2020-05-29,893205.074703377
2020-06-01,894854.6812382843
2020-06-02,899051.5425572896
2020-06-03,904990.9409530804
2020-06-04,902428.7768430165
2020-06-05,901461.1191060126
2020-06-08,921342.75041615
2020-06-09,912152.390518693
2020-06-10,906205.82117074
2020-06-11,901469.0873367819
2020-06-12,890447.2244084073
2020-06-15,887775.8827351821
2020-06-16,887775.8827351821
2020-06-17,887775.8827351821
2020-06-18,887775.8827351821
2020-06-19,887775.8827351821
2020-06-22,886576.5604467955
2020-06-23,884244.4033561882
2020-06-24,883750.0858669893
2020-06-29,883087.2733025891
2020-06-30,883087.2733025891
2020-07-01,883087.2733025891
2020-07-02,883087.2733025891
2020-07-03,883087.2733025891
2020-07-06,931715.9829640995
2020-07-07,961127.0639047723
2020-07-08,961935.723265623
2020-07-09,990981.599807385
2020-07-10,965463.7919155777
2020-07-13,962567.400539831
2020-07-14,962567.400539831
2020-07-15,962567.400539831
2020-07-16,962567.400539831
2020-07-17,962567.400539831
2020-07-20,973683.7861352345
2020-07-21,980437.2990820562
2020-07-22,1013222.2639091505
