date,value
2024-12-03,997000.0
2024-12-04,991535.1941712789
2024-12-05,987854.2101702899
2024-12-06,990664.7720582116
2024-12-09,994105.2718953978
2024-12-10,996234.8485831153
2024-12-11,1013624.4550811002
2024-12-12,1030152.263791833
2024-12-13,1012445.9751841596
2024-12-16,1014304.5286652978
2024-12-17,993322.1186317712
2024-12-18,998973.9717319403
2024-12-19,991447.7414461412
2024-12-20,992273.3976090736
2024-12-23,972036.4082162655
2024-12-24,979910.0853596436
2024-12-25,975806.6618524923
2024-12-26,980632.774330115
2024-12-27,988258.2678206321
2024-12-30,983347.6749904355
2024-12-31,974605.6353966865
2025-01-02,959358.7687692989
2025-01-03,956480.692462991
2025-01-06,960914.2480753093
2025-01-07,961962.672336004
2025-01-08,962832.4088870931
2025-01-09,959494.3168267683
2025-01-10,941552.0055452405
2025-01-13,938922.1720266633
2025-01-14,958217.6416680713
2025-01-15,953664.0687353106
2025-01-16,957885.6923883216
2025-01-17,968505.9546691519
2025-01-20,974026.7169369005
2025-01-21,969619.1254479558
2025-01-22,957419.4235369122
2025-01-23,955853.7718579534
2025-01-24,962519.7256661492
2025-01-27,964162.4418384725
2025-02-05,964162.4418384725
2025-02-06,970134.2077378798
2025-02-07,980030.0840562541
2025-02-10,982905.0448129625
2025-02-11,983448.3839329812
2025-02-12,980629.5970107114
2025-02-13,976009.114385424
2025-02-14,982814.9771040042
2025-02-17,982397.4313534264
2025-02-18,974485.7291273233
2025-02-19,985189.9742009895
2025-02-20,986602.6837553038
2025-02-21,984490.1946024343
2025-02-24,981737.3791895496
2025-02-25,974738.0700526822
2025-02-26,982637.6327639292
2025-02-27,993640.1682953533
2025-02-28,987237.2316404317
2025-03-03,984275.5199455104
2025-03-04,982126.3394675455
2025-03-05,979967.0799113807
2025-03-06,984085.5021377308
2025-03-07,979115.3141568071
2025-03-10,977986.4073882283
2025-03-11,986467.9723837879
2025-03-12,985511.2553216742
2025-03-13,987865.6255168976
2025-03-14,1007549.4702114605
2025-03-17,1013097.2510150743
2025-03-18,1012944.9544335814
2025-03-19,1014199.2672740498
2025-03-20,1018221.55838636
2025-03-21,1008132.7751722317
2025-03-24,1008039.9107313975
2025-03-25,1012498.7060165962
2025-03-26,1018885.2091216845
2025-03-27,1022787.3112233675
2025-03-28,1005691.1358238414
2025-03-31,1003297.5209749499
2025-04-01,1022183.6422533024
2025-04-02,1020659.2271439905
2025-04-03,1017597.2494625585
2025-04-07,933774.3985354166
2025-04-08,957546.2037432523
2025-04-09,980450.8315448653
2025-04-10,992050.986331346
2025-04-11,992936.795477604
2025-04-14,1006142.6110592398
2025-04-15,1006317.1703782798
2025-04-16,998965.6276683199
2025-04-17,1008479.5919427046
2025-04-18,995633.0282549068
2025-04-21,1014920.0020202784
2025-04-22,1025773.5222704863
2025-04-23,1020545.810822067
2025-04-24,1030582.8232579826
2025-04-25,1036073.6457382317
2025-04-28,1018399.59737316
2025-04-29,1027396.7530800371
2025-04-30,1033138.2599627365
2025-05-06,1030038.8451828483
2025-05-07,1042506.7458035926
2025-05-08,1049719.7085267308
2025-05-09,1052711.5851880263
2025-05-12,1058626.39866966
2025-05-13,1053520.3760357324
2025-05-14,1063574.9213824861
2025-05-15,1070100.0869856551
2025-05-16,1068966.1147520863
2025-05-19,1073525.580069019
2025-05-20,1097286.7094045447
2025-05-21,1099232.281511004
2025-05-22,1076845.8368937501
2025-05-23,1061419.9780265414
2025-05-26,1066397.2503040684
2025-05-27,1076113.7670155047
2025-05-28,1073136.8664878004
2025-05-29,1074394.3267313894
2025-05-30,1064112.8080822653
2025-06-03,1060920.4696580186
2025-06-04,1072992.3716719004
2025-06-05,1054543.4233484194
2025-06-06,1050210.7212989584
2025-06-09,1057625.3627322526
2025-06-10,1051903.3151245196
2025-06-11,1061360.1786525534
2025-06-12,1057484.90801903
2025-06-13,1056999.3742613792
2025-06-16,1057137.541516989
2025-06-17,1054802.9820169075
2025-06-18,1047864.2920010617
2025-06-19,1042098.974134606
2025-06-20,1033811.5504866209
2025-06-23,1043826.0026939707
2025-06-24,1050250.4793991884
2025-06-25,1051141.9518262947
2025-06-26,1046734.5327213899
2025-06-27,1043330.830977227
2025-06-30,1053420.7349442353
2025-07-01,1058317.7121164
2025-07-02,1055392.368231065
2025-07-03,1052226.191126372
2025-07-04,1043432.172118502
2025-07-07,1044800.2318324618
2025-07-08,1052792.6333839144
2025-07-09,1049840.9706770908
2025-07-10,1046297.1494240182
2025-07-11,1044473.0441085908
2025-07-14,1054215.056648145
2025-07-15,1043118.5997375385
2025-07-16,1059158.3995172847
2025-07-17,1068869.2451938074
2025-07-18,1069108.4415792902
2025-07-21,1074259.363522567
2025-07-22,1083524.4088370486
2025-07-23,1077053.0973042953
2025-07-24,1085690.0725241476
2025-07-25,1084855.3493908532
2025-07-28,1080549.9260602081
2025-07-29,1077465.0806959798
2025-07-30,1073729.7356372084
2025-07-31,1057598.4142067914
2025-08-01,1060151.0381189685
2025-08-04,1066285.4730573618
