code,jq_code,industry,sw_code,name,pe_ttm,pb,market_cap,turnover_ratio,roe,revenue_growth,gross_margin,net_margin,eps,cashflow_quality,risk_flag,risk_details,pe_inverse,gross_margin_change,roe_rank,revenue_growth_rank,cashflow_quality_rank,pe_inverse_rank,gross_margin_change_rank,fundamental_score,industry_trend_score,company_quality_score,research_score_raw,research_score,vc_heat,report_sentiment,intel_score_raw,intelligence_score,supply_chain_adj,composite_score,composite_rank
000968,000968.XSHE,oil,801961,蓝焰控股,18.5891,1.2056,74.4977,2.0518,0.55,-21.77,30.66,6.25,0.0354,7.9198159041643,False,,0.05379496586709416,30.66,0.5111111111111111,0.17777777777777778,0.8222222222222222,0.8064516129032258,0.9111111111111111,0.550489844683393,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.47286738351254476,19.0
600759,600759.XSHG,oil,801961,洲际油气,26.9881,1.2743,112.0233,10.6165,0.38,-18.45,55.3,7.13,0.008,0.5005292786265655,False,,0.03705336796588126,55.3,0.4666666666666667,0.2222222222222222,0.28888888888888886,0.6129032258064516,1.0,0.42097968936678615,0.6,0.4,0.48,0.2,0.3,0.68,0.4425,0.0,1.0,0.34573476702508965,35.0
600938,600938.XSHG,oil,801961,中国海油,11.1991,1.757,13802.6986,1.6645,4.13,5.68,49.8,30.95,0.6825,1.9270358506837502,False,,0.08929288960720058,49.8,1.0,0.7555555555555555,0.4444444444444444,0.967741935483871,0.9777777777777777,0.817921146953405,0.6,0.8,0.72,1.0,0.3,0.68,0.4425,0.0,1.0,0.7634408602150538,1.0
002207,002207.XSHE,oil,801962,准油股份,-65.7622,60.2888,21.3575,8.1481,-30.89,-20.2,-2.37,-14.14,-0.0494,2.66153959933927,False,,,-2.37,0.022222222222222223,0.2,0.4888888888888889,,0.06666666666666667,0.22962962962962966,0.6,0.4,0.48,0.2,0.3,0.68,0.4425,0.0,1.0,0.20222222222222225,44.0
002554,002554.XSHE,oil,801962,惠博普,-46.5269,2.039,48.2807,3.216,-1.42,115.5,6.29,-4.76,-0.0254,6.7006521973001965,False,,,6.29,0.2,0.9555555555555556,0.7333333333333333,,0.28888888888888886,0.554074074074074,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.4755555555555556,18.0
002629,002629.XSHE,oil,801962,仁智股份,1007.2361,100.6611,36.0479,5.3229999999999995,-23.03,-55.83,-5.41,-53.01,-0.0218,0.37377862073585894,False,,0.0009928158849747343,-5.41,0.044444444444444446,0.044444444444444446,0.24444444444444444,0.03225806451612903,0.044444444444444446,0.08281959378733574,0.6,0.3,0.42,0.0,0.3,0.68,0.4425,0.0,1.0,0.062114695340501805,45.0
002828,002828.XSHE,oil,801962,贝肯能源,260.2275,3.3658,23.4151,8.4458,2.19,19.1,19.0,4.94,0.0756,3.3627737687242645,False,,0.0038427914036756297,19.0,0.8,0.8888888888888888,0.5555555555555556,0.12903225806451613,0.7333333333333333,0.6809080047789724,0.6,0.4,0.48,0.2,0.3,0.68,0.4425,0.0,1.0,0.5406810035842293,10.0
300164,300164.XSHE,oil,801962,通源石油,56.0306,2.4521,35.7194,12.0818,1.22,-2.31,25.47,5.93,0.0299,2.9739531376499215,False,,0.017847390533030166,25.47,0.6888888888888889,0.6222222222222222,0.5333333333333333,0.41935483870967744,0.8444444444444444,0.6144324970131422,0.6,0.4,0.48,0.2,0.3,0.68,0.4425,0.0,1.0,0.4908243727598567,16.0
300191,300191.XSHE,oil,801962,潜能恒信,-216.7345,5.9511,63.2,1.2383,0.91,63.54,36.52,4.91,0.0301,8.938235164186365,False,,,36.52,0.6222222222222222,0.9333333333333333,0.8444444444444444,,0.9333333333333333,0.754074074074074,0.6,0.3,0.42,0.0,0.3,0.68,0.4425,0.0,1.0,0.5655555555555555,8.0
600339,600339.XSHG,oil,801962,中油工程,39.1251,0.769,206.0181,0.6959,0.2,12.84,7.42,0.27,0.0095,-35.335139058515544,False,,0.025559040104689824,7.42,0.4222222222222222,0.8444444444444444,0.022222222222222223,0.4838709677419355,0.35555555555555557,0.4585902031063322,0.6,0.7,0.6599999999999999,0.7999999999999998,0.3,0.68,0.4425,0.0,1.0,0.4639426523297491,23.0
